Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,health,absences,G
college,college,15 to 30 min,2 to 5 hours,0,good,average,high,average,6,F
elementary,elementary,<15 min,2 to 5 hours,0,excellent,average,average,average,4,F
elementary,elementary,<15 min,2 to 5 hours,3,good,average,low,average,10,F
college,junior high,<15 min,5 to 10 hours,0,average,low,low,very good,2,B
high school,high school,<15 min,2 to 5 hours,0,good,average,low,very good,4,D
college,high school,<15 min,2 to 5 hours,0,excellent,high,low,very good,10,B
junior high,junior high,<15 min,2 to 5 hours,0,good,high,high,average,0,D
college,college,15 to 30 min,2 to 5 hours,0,good,very low,high,very bad,6,F
high school,junior high,<15 min,2 to 5 hours,0,good,low,low,very bad,0,A
high school,college,<15 min,2 to 5 hours,0,excellent,very high,very low,very good,0,B
college,college,<15 min,2 to 5 hours,0,average,average,average,bad,0,F
junior high,elementary,30 min to 1 hr,5 to 10 hours,0,excellent,low,low,good,4,C
college,college,<15 min,<2 hours,0,good,average,average,very good,2,B
college,high school,15 to 30 min,2 to 5 hours,0,excellent,high,average,average,2,D
junior high,junior high,<15 min,5 to 10 hours,0,good,very high,low,average,0,A
college,college,<15 min,<2 hours,0,good,high,high,bad,4,B
college,college,<15 min,5 to 10 hours,0,average,low,average,bad,6,B
high school,high school,30 min to 1 hr,2 to 5 hours,0,excellent,average,low,good,4,D
high school,junior high,<15 min,<2 hours,3,excellent,very high,very high,very good,16,F
college,high school,<15 min,<2 hours,0,average,very low,average,very good,4,D
college,high school,<15 min,2 to 5 hours,0,good,high,very low,very bad,0,B
college,college,<15 min,<2 hours,0,excellent,high,low,very good,0,B
college,junior high,<15 min,2 to 5 hours,0,good,very high,very low,very good,2,A
junior high,junior high,15 to 30 min,2 to 5 hours,0,excellent,high,high,very good,0,C
junior high,college,<15 min,5 to 10 hours,0,good,average,low,very good,2,F
junior high,junior high,<15 min,<2 hours,2,very bad,low,low,very good,14,F
junior high,junior high,<15 min,<2 hours,0,good,low,low,very good,2,D
college,junior high,<15 min,<2 hours,0,bad,low,high,very bad,4,B
high school,college,<15 min,2 to 5 hours,0,excellent,average,average,very good,4,D
college,college,<15 min,2 to 5 hours,0,good,high,very high,very good,16,D
college,college,<15 min,2 to 5 hours,0,excellent,high,low,very good,0,C
college,college,15 to 30 min,2 to 5 hours,0,good,average,very low,very good,0,A
college,high school,<15 min,2 to 5 hours,0,good,very high,low,very good,0,A
high school,high school,<15 min,2 to 5 hours,0,excellent,average,low,bad,0,C
high school,junior high,<15 min,<2 hours,0,excellent,high,average,very good,0,B
junior high,high school,15 to 30 min,<2 hours,0,average,very high,very low,very good,0,F
college,high school,<15 min,5 to 10 hours,0,excellent,high,average,good,2,A
college,college,15 to 30 min,5 to 10 hours,0,bad,high,average,very good,7,B
high school,college,<15 min,5 to 10 hours,0,good,average,low,very good,2,D
junior high,junior high,<15 min,<2 hours,0,good,average,very low,bad,8,C
junior high,junior high,15 to 30 min,2 to 5 hours,1,average,average,average,average,25,D
college,college,<15 min,<2 hours,0,excellent,high,average,very good,8,C
college,college,<15 min,2 to 5 hours,0,good,average,average,very good,2,A
junior high,junior high,<15 min,<2 hours,0,excellent,high,very low,very bad,0,F
junior high,junior high,15 to 30 min,2 to 5 hours,1,good,average,average,very good,14,A
college,high school,<15 min,2 to 5 hours,0,excellent,low,low,very good,8,F
high school,high school,<15 min,2 to 5 hours,0,bad,average,very high,average,12,D
college,high school,<15 min,10 hours,0,good,low,low,bad,4,A
college,junior high,<15 min,2 to 5 hours,0,good,average,average,very good,2,B
college,college,<15 min,2 to 5 hours,1,good,high,high,average,2,F
junior high,junior high,30 min to 1 hr,2 to 5 hours,0,good,average,average,good,2,C
college,junior high,<15 min,2 to 5 hours,0,good,average,average,very good,2,C
college,junior high,15 to 30 min,<2 hours,1,excellent,very high,very high,very good,6,D
college,college,<15 min,<2 hours,0,average,average,high,very good,0,D
high school,high school,<15 min,<2 hours,0,excellent,average,high,very bad,6,C
junior high,elementary,<15 min,2 to 5 hours,0,excellent,average,high,bad,8,F
college,high school,<15 min,2 to 5 hours,0,good,average,low,very bad,0,B
college,college,<15 min,2 to 5 hours,0,average,low,low,very good,4,B
elementary,junior high,<15 min,2 to 5 hours,0,good,average,low,very good,2,A
college,junior high,<15 min,2 to 5 hours,0,good,low,average,very good,2,A
