school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G
GP,F,18,U,GT3,A,Higher,Higher,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,F,D,D
GP,F,17,U,GT3,T,Primary,Primary,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,F,D,D
GP,F,15,U,LE3,T,Primary,Primary,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,C,C,C
GP,F,15,U,GT3,T,Higher,Junior High,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,B,B,B
GP,F,16,U,GT3,T,Secondary,Secondary,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,D,C,C
GP,M,16,U,LE3,T,Higher,Secondary,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,C,C,C
GP,M,16,U,LE3,T,Junior High,Junior High,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,C,C,C
GP,F,17,U,GT3,A,Higher,Higher,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,D,C,C
GP,M,15,U,LE3,A,Secondary,Junior High,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,B,A,A
GP,M,15,U,GT3,T,Secondary,Higher,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,C,C,C
GP,F,15,U,GT3,T,Higher,Higher,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,B,B,B
