sex,address,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,G
F,U,A,college,college,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,no,good,average,high,average,4,D
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,average,average,average,2,D
F,U,T,elementary,elementary,<15 min,2 to 5 hours,0,yes,no,no,no,yes,no,good,average,low,average,6,C
F,U,T,college,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,average,low,low,very good,0,B
F,U,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,average,low,very good,0,C
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,low,very good,6,C
M,U,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,good,high,high,average,0,C
F,U,A,college,college,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,no,good,very low,high,very bad,2,C
M,U,A,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,good,low,low,very bad,0,A
M,U,T,high school,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,very high,very low,very good,0,C
F,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,average,average,average,bad,2,B
F,U,T,junior high,elementary,30 min to 1 hr,5 to 10 hours,0,no,yes,no,yes,yes,no,excellent,low,low,good,0,C
M,U,T,college,college,<15 min,<2 hours,0,no,yes,no,yes,yes,no,good,average,average,very good,0,C
M,U,T,college,high school,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,no,excellent,high,average,average,0,C
M,U,A,junior high,junior high,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,good,very high,low,average,0,B
F,U,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,no,good,high,high,bad,6,A
F,U,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,no,average,low,average,bad,10,B
F,U,T,high school,high school,30 min to 1 hr,2 to 5 hours,0,yes,yes,no,yes,yes,no,excellent,average,low,good,2,B
M,U,T,high school,junior high,<15 min,<2 hours,3,no,yes,yes,yes,yes,no,excellent,very high,very high,very good,2,F
M,U,T,college,high school,<15 min,<2 hours,0,no,no,no,yes,yes,no,average,very low,average,very good,6,C
M,U,T,college,high school,<15 min,2 to 5 hours,0,no,no,no,no,yes,no,good,high,very low,very bad,0,B
M,U,T,college,college,<15 min,<2 hours,0,no,yes,yes,no,yes,no,excellent,high,low,very good,0,C
M,U,T,college,junior high,<15 min,2 to 5 hours,0,no,no,no,yes,yes,no,good,very high,very low,very good,0,B
M,U,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,excellent,high,high,very good,2,D
F,R,T,junior high,college,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,no,good,average,low,very good,2,D
F,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,no,very bad,low,low,very good,6,C
M,U,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,no,good,low,low,very good,8,C
M,U,T,college,junior high,<15 min,<2 hours,0,no,no,no,no,yes,no,bad,low,high,very bad,0,D
M,U,A,high school,college,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,no,excellent,average,average,very good,2,C
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,good,high,very high,very good,4,C
M,U,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,no,excellent,high,low,very good,0,D
M,U,T,college,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,no,good,average,very low,very good,2,B
