sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G
F,18,U,GT3,A,college,college,15 to 30 min,2 to 5 hours,0,yes,no,no,no,yes,no,no,good,average,high,very low,very low,average,4,D
F,17,U,GT3,T,elementary,elementary,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,average,average,very low,very low,average,2,D
F,15,U,LE3,T,elementary,elementary,<15 min,2 to 5 hours,0,yes,no,no,no,yes,yes,no,good,average,low,low,average,average,6,C
F,15,U,GT3,T,college,junior high,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,average,low,low,very low,very low,very good,0,B
F,16,U,GT3,T,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,no,no,good,average,low,very low,low,very good,0,C
M,16,U,LE3,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,low,very low,low,very good,6,C
M,16,U,LE3,T,junior high,junior high,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,no,good,high,high,very low,very low,average,0,C
F,17,U,GT3,A,college,college,15 to 30 min,2 to 5 hours,0,yes,yes,no,no,yes,no,no,good,very low,high,very low,very low,very bad,2,C
M,15,U,LE3,A,high school,junior high,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,good,low,low,very low,very low,very bad,0,A
M,15,U,GT3,T,high school,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,very high,very low,very low,very low,very good,0,C
F,15,U,GT3,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,average,average,average,very low,low,bad,2,B
F,15,U,GT3,T,junior high,elementary,30 min to 1 hr,5 to 10 hours,0,no,yes,no,yes,yes,yes,no,excellent,low,low,very low,very low,good,0,C
M,15,U,LE3,T,college,college,<15 min,<2 hours,0,no,yes,no,yes,yes,yes,no,good,average,average,very low,average,very good,0,C
M,15,U,GT3,T,college,high school,15 to 30 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,high,average,very low,low,average,0,C
M,15,U,GT3,A,junior high,junior high,<15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,very high,low,very low,very low,average,0,B
F,16,U,GT3,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,yes,no,good,high,high,very low,low,bad,6,A
F,16,U,GT3,T,college,college,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,no,average,low,average,very low,low,bad,10,B
F,16,U,GT3,T,high school,high school,30 min to 1 hr,2 to 5 hours,0,yes,yes,no,yes,yes,no,no,excellent,average,low,very low,very low,good,2,B
M,17,U,GT3,T,high school,junior high,<15 min,<2 hours,3,no,yes,yes,yes,yes,yes,no,excellent,very high,very high,low,high,very good,2,F
M,16,U,LE3,T,college,high school,<15 min,<2 hours,0,no,no,no,yes,yes,yes,no,average,very low,average,very low,average,very good,6,C
M,15,U,GT3,T,college,high school,<15 min,2 to 5 hours,0,no,no,no,no,yes,yes,no,good,high,very low,very low,very low,very bad,0,B
M,15,U,GT3,T,college,college,<15 min,<2 hours,0,no,yes,yes,no,yes,yes,no,excellent,high,low,very low,very low,very good,0,C
M,16,U,LE3,T,college,junior high,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,no,good,very high,very low,very low,average,very good,0,B
M,16,U,LE3,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,high,low,high,very good,2,D
F,15,R,GT3,T,junior high,college,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,yes,no,good,average,low,very low,very low,very good,2,D
F,16,U,GT3,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,yes,no,very bad,low,low,very low,average,very good,6,C
M,15,U,GT3,T,junior high,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,yes,no,good,low,low,very low,low,very good,8,C
M,15,U,GT3,T,college,junior high,<15 min,<2 hours,0,no,no,no,no,yes,yes,no,bad,low,high,low,high,very bad,0,D
M,16,U,LE3,A,high school,college,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,no,excellent,average,average,very low,very low,very good,2,C
M,16,U,GT3,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,good,high,very high,very high,very high,very good,4,C
M,15,U,GT3,T,college,college,<15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,excellent,high,low,average,high,very good,0,D
M,15,U,GT3,T,college,college,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,good,average,very low,very low,very low,very good,2,B
M,15,R,GT3,T,college,high school,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,good,very high,low,very low,very low,very good,0,B
M,15,U,LE3,T,high school,high school,<15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,no,excellent,average,low,very low,very low,bad,0,C
M,16,U,GT3,T,high school,junior high,<15 min,<2 hours,0,no,yes,no,no,yes,yes,no,excellent,high,average,very low,very low,very good,4,C
F,15,U,GT3,T,junior high,high school,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,no,no,average,very high,very low,very low,very low,very good,4,D
M,15,U,LE3,T,college,high school,<15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,average,very low,very low,good,0,B
M,16,R,GT3,A,college,college,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,bad,high,average,very low,very low,very good,4,C
F,15,R,GT3,T,high school,college,<15 min,5 to 10 hours,0,yes,yes,no,yes,yes,yes,no,good,average,low,very low,very low,very good,2,C
F,15,R,GT3,T,junior high,junior high,<15 min,<2 hours,0,yes,yes,no,yes,yes,no,no,good,average,very low,very low,very low,bad,8,C
F,16,U,LE3,T,junior high,junior high,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,average,average,average,very low,low,average,16,D
M,15,U,LE3,T,college,college,<15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,average,low,high,very good,8,D
M,15,U,GT3,T,college,college,<15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,good,average,average,very low,very low,very good,0,B
M,15,U,GT3,T,junior high,junior high,<15 min,<2 hours,0,yes,yes,no,no,yes,yes,no,excellent,high,very low,very low,very low,very bad,0,D
F,16,U,LE3,T,junior high,junior high,15 to 30 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,no,good,average,average,low,low,very good,14,D
F,15,U,LE3,A,college,high school,<15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,excellent,low,low,very low,very low,very good,4,D
F,16,U,LE3,A,high school,high school,<15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,bad,average,very high,very low,high,average,6,C
M,16,U,GT3,T,college,high school,<15 min,10 hours,0,no,no,no,yes,yes,yes,no,good,low,low,very low,very low,bad,2,A
