@relation CleanedData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu {college,elementary,'high school','junior high',none}
@attribute Fedu {college,elementary,'junior high','high school',none}
@attribute traveltime {'15 to 30 min','<15 min','30 min to 1 hr','>1 hour'}
@attribute studytime {'2 to 5 hours','5 to 10 hours','<2 hours','10 hours'}
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {good,excellent,average,'very bad',bad}
@attribute freetime {average,low,high,'very low','very high'}
@attribute goout {high,average,low,'very low','very high'}
@attribute Dalc {'very low',low,'very high',average,high}
@attribute Walc {'very low',average,low,high,'very high'}
@attribute health {average,'very good','very bad',bad,good}
@attribute absences numeric
@attribute G {F,B,D,A,C}

@data
F,17,R,GT3,T,college,'high school','15 to 30 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,yes,good,high,low,'very low','very low',good,6,F
F,18,R,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,good,average,high,low,low,good,8,D
M,18,R,LE3,T,'high school','junior high','30 min to 1 hr','<2 hours',0,no,no,no,no,yes,yes,no,good,high,'very low',average,high,'very good',0,D
M,16,U,GT3,T,'high school','high school','15 to 30 min','<2 hours',0,no,no,no,yes,yes,yes,no,excellent,high,low,'very low','very low','very good',0,C
F,18,R,LE3,A,elementary,college,'30 min to 1 hr','2 to 5 hours',0,no,no,no,no,yes,no,yes,good,average,high,'very low',high,'very good',0,C
M,17,R,GT3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,'very high',low,'very low','very low','very bad',4,D
M,16,U,GT3,T,'high school','high school','30 min to 1 hr','2 to 5 hours',0,yes,yes,no,no,yes,yes,no,excellent,average,average,'very low',average,bad,6,D
M,18,U,LE3,T,'junior high',elementary,'>1 hour','2 to 5 hours',0,yes,yes,yes,yes,yes,yes,yes,good,average,low,high,'very high',average,14,F
F,17,R,GT3,T,'junior high',college,'<15 min','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,high,average,'very low','very low','very good',7,B
M,18,U,LE3,T,elementary,'high school','<15 min','<2 hours',1,no,no,no,no,no,yes,yes,good,average,average,low,average,average,7,F
F,16,U,LE3,T,'high school',elementary,'<15 min','2 to 5 hours',0,yes,yes,no,no,yes,no,no,average,average,average,low,average,bad,4,F
F,15,U,GT3,T,'junior high','junior high','<15 min','10 hours',0,yes,yes,yes,no,yes,yes,no,excellent,'very low',low,'very low','very low',average,8,F
