@relation CleanedData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0-V

@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu {college,elementary,'high school','junior high',none}
@attribute Fedu {college,elementary,'junior high','high school',none}
@attribute traveltime {'15 to 30 min','<15 min','30 min to 1 hr','>1 hour'}
@attribute studytime {'2 to 5 hours','5 to 10 hours','<2 hours','10 hours'}
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {good,excellent,average,'very bad',bad}
@attribute freetime {average,low,high,'very low','very high'}
@attribute goout {high,average,low,'very low','very high'}
@attribute Dalc {'very low',low,'very high',average,high}
@attribute Walc {'very low',average,low,high,'very high'}
@attribute health {average,'very good','very bad',bad,good}
@attribute absences numeric
@attribute G {F,B,D,A,C}

@data
F,18,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,no,yes,no,yes,yes,yes,good,'very low',average,'very low',low,'very bad',0,B
F,16,U,LE3,T,'junior high','junior high','30 min to 1 hr','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,average,average,low,average,good,2,C
F,16,U,LE3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,'very high',low,'very low',low,average,0,F
M,17,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,no,no,no,yes,yes,no,excellent,low,low,'very low','very low',bad,4,C
M,17,R,LE3,T,elementary,'junior high','<15 min','<2 hours',0,no,no,no,no,yes,no,no,bad,low,low,average,average,'very good',8,C
M,18,U,GT3,T,'high school','junior high','15 to 30 min','<2 hours',1,no,no,no,no,no,yes,no,good,high,'very high',low,high,'very good',0,F
M,15,R,GT3,T,'high school','junior high','15 to 30 min','2 to 5 hours',2,yes,yes,no,no,yes,yes,yes,good,high,high,'very low',high,average,6,F
M,16,R,GT3,T,'junior high',elementary,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,no,no,average,average,low,'very low',average,average,0,F
M,18,U,GT3,T,college,college,'<15 min','5 to 10 hours',0,no,no,no,yes,yes,yes,no,good,average,average,low,low,average,3,D
F,17,R,GT3,T,'high school',college,'<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,no,good,average,high,low,'very high','very good',0,D
F,17,U,GT3,T,college,'junior high','15 to 30 min','5 to 10 hours',0,no,yes,yes,no,yes,yes,no,good,average,average,'very low','very low',average,0,B
M,16,U,GT3,T,'high school','high school','<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,no,excellent,average,average,'very low','very low','very good',2,A
F,16,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,yes,yes,yes,yes,yes,yes,no,good,average,average,low,high,'very good',54,D
F,19,U,GT3,T,'junior high',elementary,'30 min to 1 hr','2 to 5 hours',0,no,yes,no,no,no,yes,yes,average,high,'very low','very low','very low',bad,20,C
F,17,U,LE3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,yes,yes,yes,no,yes,yes,yes,good,high,high,low,average,'very good',6,C
M,15,U,GT3,T,'high school',college,'<15 min','<2 hours',0,no,no,no,no,yes,yes,no,average,high,average,'very low',low,good,6,C
F,15,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,yes,no,no,yes,yes,yes,yes,good,high,high,low,high,bad,0,D
M,19,R,GT3,T,elementary,elementary,'30 min to 1 hr','2 to 5 hours',3,no,no,no,no,yes,yes,no,excellent,high,high,average,average,bad,8,F
M,15,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,excellent,high,low,average,high,'very good',0,C
F,17,U,GT3,T,college,'high school','<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,yes,good,high,average,'very low',average,good,0,B
M,15,U,LE3,A,'high school','junior high','<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,low,low,'very low','very low','very bad',0,A
F,15,U,GT3,T,college,college,'<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,yes,good,average,average,'very low','very low','very good',0,F
M,16,U,LE3,T,'junior high',elementary,'<15 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,yes,good,low,average,'very low',low,'very good',0,B
F,17,R,GT3,T,'junior high',elementary,'30 min to 1 hr','2 to 5 hours',0,no,no,no,yes,yes,no,no,bad,'very low','very low','very low','very low',average,2,D
F,15,U,LE3,A,college,'high school','<15 min','2 to 5 hours',0,yes,yes,yes,yes,yes,yes,yes,excellent,low,low,'very low','very low','very good',8,F
F,18,R,GT3,A,'high school','junior high','15 to 30 min','2 to 5 hours',0,no,no,no,no,no,yes,yes,good,'very low','very low','very low','very low','very good',75,F
F,15,U,GT3,T,college,college,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,yes,no,good,average,low,'very low','very low','very good',0,B
F,15,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,high,low,'very low',low,'very good',0,D
F,16,U,GT3,T,college,'high school','<15 min','5 to 10 hours',0,yes,yes,yes,no,yes,yes,no,excellent,average,'very high','very low','very low',average,0,F
F,18,R,GT3,T,elementary,elementary,'30 min to 1 hr','<2 hours',3,no,yes,no,yes,yes,no,no,excellent,low,'very high','very low','very high',good,6,F
M,21,R,GT3,T,elementary,elementary,'<15 min','<2 hours',3,no,no,no,no,yes,no,no,excellent,'very high',average,average,average,average,3,F
M,16,U,LE3,T,'junior high',elementary,'<15 min','<2 hours',1,no,no,no,yes,yes,no,yes,good,high,high,average,'very high','very good',6,B
F,17,U,GT3,T,'junior high','junior high','<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,no,good,average,average,'very low','very low',good,4,D
F,16,U,GT3,T,'junior high',elementary,'<15 min','<2 hours',0,no,no,no,no,yes,yes,yes,good,'very high',low,'very low','very low','very good',20,C
M,15,U,GT3,T,college,'junior high','<15 min','10 hours',0,no,no,no,no,yes,yes,no,average,average,average,'very low','very low',average,0,D
F,16,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,yes,yes,no,yes,no,no,good,average,low,'very low',low,'very good',4,D
F,19,U,LE3,T,elementary,'junior high','<15 min','2 to 5 hours',1,no,no,no,yes,yes,no,yes,good,low,high,low,low,average,0,F
M,15,U,LE3,T,college,'junior high','<15 min','<2 hours',0,no,no,no,no,yes,yes,no,average,'very high',low,'very low','very low',average,10,A
F,18,U,LE3,T,'high school',elementary,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,average,high,'very low','very low','very bad',0,F
F,17,U,GT3,T,college,'high school','<15 min','2 to 5 hours',2,no,no,yes,no,yes,yes,yes,average,high,'very high',low,high,'very bad',22,F
F,17,R,GT3,T,elementary,'junior high','15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,no,no,average,low,low,'very low',low,average,0,C
M,16,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,low,high,low,high,'very bad',2,C
M,17,U,GT3,T,'high school','high school','15 to 30 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,'very high',high,low,average,average,2,C
M,15,U,GT3,T,'high school',college,'<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,excellent,'very high','very low','very low','very low','very good',0,B
M,18,U,GT3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,average,average,average,'very high','very high',good,0,C
M,16,R,GT3,T,college,'high school','15 to 30 min','<2 hours',0,yes,yes,no,yes,yes,yes,no,average,average,average,'very low','very low',good,2,B
M,15,U,LE3,A,'junior high',elementary,'>1 hour','<2 hours',3,no,no,no,no,yes,yes,no,good,'very high','very high',low,'very high','very good',0,F
M,15,U,GT3,T,'junior high','high school','<15 min','<2 hours',0,yes,yes,yes,yes,yes,yes,yes,average,low,low,'very low',average,average,2,C
F,17,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,average,low,average,'very low',low,average,14,B
F,19,U,GT3,T,'high school','high school','<15 min','10 hours',0,no,yes,yes,yes,yes,yes,no,good,average,average,'very low',low,average,10,F
