@relation CleanedNumData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu {college,elementary,'high school','junior high',none}
@attribute Fedu {college,elementary,'junior high','high school',none}
@attribute traveltime {'15 to 30 min','<15 min','30 min to 1 hr','>1 hour'}
@attribute studytime {'2 to 5 hours','5 to 10 hours','<2 hours','10 hours'}
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {good,excellent,average,'very bad',bad}
@attribute freetime {average,low,high,'very low','very high'}
@attribute goout {high,average,low,'very low','very high'}
@attribute Dalc {'very low',low,'very high',average,high}
@attribute Walc {'very low',average,low,high,'very high'}
@attribute health {average,'very good','very bad',bad,good}
@attribute absences numeric
@attribute G numeric

@data
M,18,U,LE3,T,'junior high','junior high','<15 min','10 hours',0,no,yes,no,yes,yes,yes,no,good,'very high','very high',low,high,'very good',2,8
F,17,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,no,excellent,average,average,'very low','very low',average,0,8
M,18,U,LE3,T,'high school',college,'<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,good,average,average,'very low',average,'very good',11,15
F,15,U,LE3,A,college,'high school','<15 min','2 to 5 hours',0,yes,yes,yes,yes,yes,yes,yes,excellent,low,low,'very low','very low','very good',8,8
F,16,U,GT3,T,'junior high','junior high','<15 min','<2 hours',2,no,yes,yes,no,yes,yes,no,'very bad',low,low,'very low',average,'very good',14,9
M,15,U,LE3,A,'high school','junior high','<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,low,low,'very low','very low','very bad',0,18
F,16,U,GT3,A,'high school',elementary,'<15 min','2 to 5 hours',3,no,yes,yes,no,yes,yes,no,bad,average,average,low,low,good,5,7
F,17,R,GT3,T,college,'high school','15 to 30 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,yes,good,high,low,'very low','very low',good,6,7
F,20,U,GT3,T,college,'junior high','15 to 30 min','5 to 10 hours',2,no,yes,yes,no,yes,yes,yes,excellent,high,average,'very low','very low',average,4,14
F,16,U,GT3,A,'junior high',elementary,'<15 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,yes,excellent,average,high,'very low','very low',bad,8,9
F,17,R,GT3,T,'high school',college,'<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,no,good,average,high,low,'very high','very good',0,11
M,16,U,GT3,T,college,college,'<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,yes,good,high,average,'very low','very low',good,0,17
M,16,U,GT3,T,'high school','junior high','15 to 30 min','5 to 10 hours',0,no,no,no,yes,yes,yes,yes,excellent,average,average,'very low',average,bad,10,9
M,17,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,no,no,yes,no,yes,yes,no,good,average,average,'very low',low,good,2,10
F,18,U,LE3,T,'junior high','junior high','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,good,average,average,'very low','very low',bad,0,8
F,16,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,yes,yes,yes,yes,yes,yes,no,good,average,average,low,high,'very good',54,12
F,18,U,GT3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',0,yes,no,no,yes,yes,yes,no,excellent,high,high,'very low','very low',good,4,9
F,19,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,bad,average,high,low,average,bad,0,9
F,16,U,LE3,T,'high school',elementary,'<15 min','2 to 5 hours',0,yes,yes,no,no,yes,no,no,average,average,average,low,average,bad,4,6
M,18,U,LE3,T,'junior high',elementary,'>1 hour','2 to 5 hours',0,yes,yes,yes,yes,yes,yes,yes,good,average,low,high,'very high',average,14,8
F,18,U,GT3,T,'junior high',elementary,'15 to 30 min','5 to 10 hours',0,no,yes,yes,no,yes,yes,yes,good,high,high,'very low','very low',average,0,0
F,16,U,GT3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,average,high,high,'very low',high,'very good',2,13
F,16,U,LE3,T,'junior high','junior high','30 min to 1 hr','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,average,average,low,average,good,2,13
F,17,U,GT3,A,'high school','high school','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,yes,average,average,average,'very low',average,average,6,7
M,18,R,LE3,T,'high school','junior high','15 to 30 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,no,excellent,high,low,'very low','very low',good,8,13
M,15,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,good,average,'very low','very low','very low','very good',0,16
F,17,U,GT3,T,college,'high school','<15 min','5 to 10 hours',0,no,yes,yes,no,yes,yes,no,good,low,low,'very low',low,average,0,15
M,16,R,GT3,T,'junior high',elementary,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,no,no,average,average,low,'very low',average,average,0,9
M,16,U,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,average,high,average,low,average,average,10,8
M,18,U,LE3,T,college,college,'<15 min','<2 hours',0,no,yes,yes,no,yes,yes,yes,'very bad',high,low,low,low,'very bad',5,15
F,15,U,GT3,T,college,college,'<15 min','2 to 5 hours',1,yes,yes,no,yes,yes,yes,no,good,high,high,'very low','very low',average,2,7
F,15,U,GT3,T,college,'high school','<15 min','<2 hours',0,no,no,yes,yes,yes,yes,no,good,'very high','very high','very low',average,'very bad',4,17
M,22,U,GT3,T,'high school',elementary,'<15 min','<2 hours',3,no,no,no,no,no,yes,yes,excellent,high,'very high','very high','very high','very bad',16,8
F,17,R,GT3,T,'high school',elementary,'<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,'very high',high,low,average,'very bad',17,10
M,18,U,LE3,T,'high school','high school','<15 min','2 to 5 hours',1,no,yes,yes,no,yes,yes,no,average,low,high,low,high,good,13,6
F,16,U,GT3,T,'junior high','high school','<15 min','2 to 5 hours',0,yes,yes,yes,yes,yes,no,no,good,high,average,'very low',average,good,6,10
M,21,R,GT3,T,elementary,elementary,'<15 min','<2 hours',3,no,no,no,no,yes,no,no,excellent,'very high',average,average,average,average,3,8
F,15,R,GT3,T,'high school','high school','15 to 30 min','5 to 10 hours',2,no,yes,yes,yes,yes,yes,yes,good,low,'very low',low,average,average,8,10
M,19,R,GT3,T,elementary,elementary,'30 min to 1 hr','<2 hours',1,no,yes,no,no,yes,yes,no,good,high,high,average,average,'very good',4,8
F,15,U,GT3,T,'high school','junior high','<15 min','2 to 5 hours',3,no,yes,no,no,yes,yes,no,average,average,low,'very low','very low',average,0,7
M,15,U,GT3,T,'high school',college,'<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,excellent,'very high','very low','very low','very low','very good',0,15
M,17,R,GT3,T,'junior high','junior high','>1 hour','<2 hours',0,no,yes,no,no,yes,yes,no,good,high,'very high','very high','very high',good,8,10
M,16,U,GT3,T,none,'junior high','<15 min','<2 hours',0,no,no,yes,no,yes,yes,no,good,average,low,low,high,'very good',0,15
F,19,R,GT3,A,'high school',elementary,'<15 min','5 to 10 hours',1,no,no,yes,no,yes,no,no,excellent,high,average,'very low',low,'very good',12,13
M,15,U,GT3,T,'junior high','high school','<15 min','<2 hours',0,yes,yes,yes,yes,yes,yes,yes,average,low,low,'very low',average,average,2,12
F,18,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,yes,no,no,yes,no,yes,excellent,average,high,'very low','very low','very good',0,9
F,19,U,LE3,T,elementary,'junior high','<15 min','2 to 5 hours',1,no,no,no,yes,yes,no,yes,good,low,high,low,low,average,0,9
F,18,R,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,good,average,high,low,low,good,8,10
M,16,U,GT3,T,elementary,'junior high','<15 min','<2 hours',0,no,yes,yes,yes,yes,yes,yes,average,average,average,'very low',low,average,2,12
F,18,U,GT3,T,'junior high','high school','<15 min','10 hours',0,no,yes,yes,yes,yes,yes,yes,good,'very high','very high','very low',average,bad,4,14
M,17,U,GT3,T,elementary,'junior high','15 to 30 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,good,high,high,high,'very high','very good',12,8
M,18,U,LE3,T,college,college,'15 to 30 min','5 to 10 hours',0,no,no,yes,no,yes,yes,yes,good,low,low,low,low,'very good',0,13
M,16,U,GT3,T,college,college,'<15 min','<2 hours',0,no,yes,no,no,no,yes,yes,average,average,low,low,'very low','very good',0,6
F,18,R,GT3,T,'high school',elementary,'<15 min','2 to 5 hours',1,no,no,no,yes,yes,yes,yes,excellent,average,average,'very low','very low',good,16,8
F,15,U,LE3,T,elementary,elementary,'<15 min','2 to 5 hours',3,yes,no,yes,no,yes,yes,no,good,average,low,low,average,average,10,8
M,15,U,LE3,T,college,college,'<15 min','<2 hours',0,no,yes,no,no,yes,yes,yes,excellent,high,average,low,high,'very good',8,12
F,15,R,GT3,T,'high school',college,'15 to 30 min','5 to 10 hours',2,no,yes,no,no,yes,yes,yes,good,low,low,low,low,'very good',0,0
F,15,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,average,average,average,'very low',low,bad,0,8
F,18,R,LE3,T,college,college,'<15 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,excellent,high,average,average,high,bad,4,9
F,18,R,LE3,T,elementary,elementary,'15 to 30 min','10 hours',0,no,yes,yes,yes,yes,no,no,excellent,low,low,'very low','very low',average,1,12
F,15,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,yes,no,yes,yes,no,no,average,'very high','very low','very low','very low','very good',0,7
M,17,U,GT3,T,'high school',elementary,'<15 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,yes,excellent,high,high,average,high,'very good',2,9
F,16,U,GT3,A,'high school','high school','15 to 30 min','<2 hours',2,no,yes,no,yes,yes,yes,yes,good,average,low,'very low','very low','very good',0,0
M,17,U,LE3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,yes,excellent,average,'very high',high,'very high',average,13,12
M,18,R,LE3,A,'high school',college,'15 to 30 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,low,'very high',average,high,'very bad',13,17
F,15,R,GT3,T,elementary,elementary,'15 to 30 min','10 hours',1,yes,yes,yes,yes,yes,yes,no,average,'very low',low,'very low','very low','very bad',2,10
F,15,U,GT3,T,'junior high',elementary,'30 min to 1 hr','5 to 10 hours',0,no,yes,no,yes,yes,yes,no,excellent,low,low,'very low','very low',good,4,12
M,17,R,GT3,T,elementary,'junior high','<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,no,yes,average,'very high',low,low,low,'very bad',2,14
F,17,U,GT3,T,college,'high school','<15 min','2 to 5 hours',2,no,no,yes,no,yes,yes,yes,average,high,'very high',low,high,'very bad',22,6
F,18,R,GT3,T,college,college,'30 min to 1 hr','<2 hours',0,no,yes,yes,yes,yes,yes,yes,good,high,average,low,low,'very good',7,5
F,15,U,GT3,T,college,college,'<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,yes,good,average,average,'very low','very low','very good',0,0
F,18,U,GT3,T,college,'high school','<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,yes,good,average,high,'very low','very low','very good',9,10
F,17,U,GT3,T,'high school','junior high','<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,yes,good,average,low,low,average,bad,0,8
F,15,U,GT3,T,college,'junior high','<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,yes,average,low,low,'very low','very low','very good',2,14
F,15,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,yes,no,no,yes,yes,yes,yes,good,high,high,low,high,bad,0,10
F,16,U,LE3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',1,yes,no,no,yes,yes,yes,no,good,average,average,low,low,'very good',14,10
M,15,U,LE3,T,'junior high','junior high','<15 min','10 hours',0,no,yes,no,yes,yes,yes,no,good,average,high,'very low','very low',good,6,13
F,18,U,GT3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',1,no,no,no,yes,yes,no,no,'very bad','very low','very low','very low','very low','very good',0,5
M,18,U,GT3,T,'junior high',elementary,'<15 min','5 to 10 hours',0,no,no,yes,yes,yes,yes,no,good,low,high,'very low',average,bad,6,14
F,19,R,GT3,T,'junior high','high school','<15 min','5 to 10 hours',1,no,no,no,no,yes,yes,yes,good,'very low',low,'very low','very low',average,40,11
M,16,U,GT3,T,college,college,'<15 min','<2 hours',0,yes,yes,yes,yes,yes,yes,no,good,'very high','very high','very high','very high',good,14,7
F,18,U,LE3,T,'high school','high school','<15 min','10 hours',0,no,yes,no,no,yes,yes,no,excellent,average,average,'very low','very low','very bad',7,15
M,15,U,GT3,T,'high school',college,'<15 min','<2 hours',0,no,no,no,no,yes,yes,no,average,high,average,'very low',low,good,6,13
