@relation CleanedPorNumData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu {college,elementary,'high school','junior high',none}
@attribute Fedu {college,elementary,'junior high','high school',none}
@attribute traveltime {'15 to 30 min','<15 min','30 min to 1 hr','>1 hour'}
@attribute studytime {'2 to 5 hours','5 to 10 hours','<2 hours','10 hours'}
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {good,excellent,average,'very bad',bad}
@attribute freetime {average,low,high,'very low','very high'}
@attribute goout {high,average,low,'very low','very high'}
@attribute Dalc {'very low',low,'very high',average,high}
@attribute Walc {'very low',average,low,high,'very high'}
@attribute health {average,'very good','very bad',bad,good}
@attribute absences numeric
@attribute G numeric

@data
F,18,U,LE3,A,elementary,'junior high','15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,good,high,average,'very low',low,good,0,13
M,15,U,GT3,T,'high school',elementary,'15 to 30 min','<2 hours',0,no,yes,no,no,yes,no,no,average,low,average,'very low',average,good,0,9
F,17,R,GT3,T,'junior high',elementary,'30 min to 1 hr','2 to 5 hours',0,no,no,no,yes,yes,no,no,bad,'very low','very low','very low','very low',average,2,13
M,19,U,GT3,T,college,'junior high','15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,yes,excellent,high,high,'very low','very low','very bad',9,10
M,17,R,GT3,T,'junior high','junior high','15 to 30 min','<2 hours',0,no,no,no,no,no,no,no,excellent,low,low,'very low','very low',good,0,10
F,19,R,GT3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',1,no,yes,no,no,yes,yes,yes,good,average,average,'very low','very low',average,4,8
F,17,U,GT3,T,'high school','high school','15 to 30 min','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,low,low,low,average,'very good',10,11
M,15,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,no,no,good,high,average,'very low','very low',bad,4,15
M,15,R,GT3,T,elementary,'junior high','30 min to 1 hr','2 to 5 hours',0,no,yes,no,yes,yes,no,no,excellent,'very high','very high','very low',average,'very good',11,11
M,19,R,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,no,yes,good,'very high',average,'very low',low,'very good',0,10
M,16,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,no,no,no,yes,yes,no,excellent,average,average,'very low','very low',average,0,12
M,16,U,LE3,A,college,college,'<15 min','2 to 5 hours',0,no,yes,no,no,yes,no,no,good,'very low',average,average,'very high','very good',6,9
F,16,U,GT3,A,'high school',college,'<15 min','<2 hours',0,no,no,no,no,yes,yes,no,average,low,'very low','very low',high,'very good',12,13
F,15,R,GT3,T,elementary,'junior high','15 to 30 min','<2 hours',0,no,no,no,no,yes,no,no,excellent,'very low',low,'very low','very low','very bad',3,13
F,15,R,GT3,T,college,college,'15 to 30 min','<2 hours',0,no,no,no,no,yes,yes,yes,'very bad','very high','very low',average,'very high','very good',0,14
F,18,U,GT3,A,elementary,'junior high','15 to 30 min','2 to 5 hours',2,no,yes,no,no,yes,no,no,good,average,average,'very low','very low','very good',2,8
F,17,U,GT3,T,'high school',college,'<15 min','5 to 10 hours',0,no,no,no,no,yes,yes,no,good,high,'very high','very low',average,'very good',8,13
F,18,U,GT3,T,'high school','junior high','<15 min','5 to 10 hours',0,no,no,no,no,yes,yes,yes,excellent,high,average,low,average,'very bad',4,16
F,18,U,GT3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,no,no,no,yes,yes,yes,no,good,average,'very high','very low','very low','very bad',2,13
M,17,U,LE3,A,'high school','junior high','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,good,high,high,'very low',low,'very good',10,18
F,17,U,GT3,T,none,elementary,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,no,no,bad,high,high,average,'very high','very good',5,9
M,16,R,GT3,T,'high school',college,'30 min to 1 hr','2 to 5 hours',0,no,no,no,no,yes,no,no,average,high,'very high','very low',low,'very good',4,10
F,18,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,yes,no,no,yes,no,yes,excellent,average,high,'very low','very low','very good',0,10
F,15,R,GT3,T,'high school',college,'<15 min','5 to 10 hours',0,yes,yes,no,yes,yes,yes,no,good,average,low,'very low','very low','very good',2,12
M,16,R,GT3,T,elementary,elementary,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,no,no,average,high,high,average,high,'very good',6,11
M,16,U,GT3,T,'junior high',elementary,'30 min to 1 hr','<2 hours',0,no,no,no,no,yes,yes,no,good,average,average,'very low','very low',good,7,16
F,18,R,GT3,T,elementary,elementary,'30 min to 1 hr','<2 hours',3,no,yes,no,yes,yes,no,no,excellent,low,'very high','very low','very high',good,6,10
F,16,U,LE3,T,elementary,elementary,'30 min to 1 hr','2 to 5 hours',0,no,yes,no,no,yes,yes,no,good,average,low,'very low',average,'very good',6,8
M,19,U,GT3,T,'junior high',elementary,'15 to 30 min','<2 hours',3,no,no,no,yes,no,yes,yes,good,high,average,'very low',average,'very good',4,9
M,17,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,good,average,average,'very low',low,good,0,12
F,15,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,average,average,average,'very low',low,bad,2,14
M,18,R,GT3,T,elementary,elementary,'15 to 30 min','<2 hours',1,no,no,no,yes,no,yes,no,good,high,average,average,high,good,0,9
M,18,U,GT3,T,'high school','junior high','15 to 30 min','<2 hours',0,no,no,no,no,no,yes,no,good,high,'very high',low,high,'very good',8,8
M,18,U,GT3,T,'junior high',elementary,'<15 min','5 to 10 hours',0,no,no,no,yes,yes,yes,no,good,low,high,'very low',average,bad,0,15
