@relation CleanedPorNumData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu {college,elementary,'high school','junior high',none}
@attribute Fedu {college,elementary,'junior high','high school',none}
@attribute traveltime {'15 to 30 min','<15 min','30 min to 1 hr','>1 hour'}
@attribute studytime {'2 to 5 hours','5 to 10 hours','<2 hours','10 hours'}
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {good,excellent,average,'very bad',bad}
@attribute freetime {average,low,high,'very low','very high'}
@attribute goout {high,average,low,'very low','very high'}
@attribute Dalc {'very low',low,'very high',average,high}
@attribute Walc {'very low',average,low,high,'very high'}
@attribute health {average,'very good','very bad',bad,good}
@attribute absences numeric
@attribute G numeric

@data
F,21,U,LE3,T,college,college,'<15 min','5 to 10 hours',2,no,no,yes,yes,yes,yes,no,average,average,low,'very low','very low','very good',0,12
M,16,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,excellent,high,high,'very low',low,'very good',6,14
F,18,U,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,yes,average,'very low',low,'very low',average,bad,2,15
M,18,U,LE3,T,'junior high','junior high','<15 min','10 hours',0,no,yes,yes,yes,yes,yes,no,good,'very high','very high',low,high,'very good',0,11
M,15,R,GT3,T,'high school',college,'>1 hour','2 to 5 hours',0,no,yes,no,no,yes,no,yes,excellent,average,average,'very low','very low','very good',2,11
M,17,U,GT3,T,'high school','junior high','15 to 30 min','<2 hours',3,no,yes,no,yes,no,no,no,good,'very high',low,'very low','very low',bad,10,7
M,21,R,LE3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',2,no,yes,no,yes,no,yes,yes,excellent,average,average,'very high',low,good,21,10
M,15,U,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,good,average,average,low,average,'very good',0,11
F,16,U,GT3,A,'junior high',elementary,'<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,excellent,average,high,'very low','very low',bad,2,13
F,15,R,LE3,T,elementary,elementary,'15 to 30 min','<2 hours',0,no,yes,no,no,no,no,yes,excellent,low,'very low','very low',average,good,0,10
F,17,U,LE3,T,none,'junior high','15 to 30 min','5 to 10 hours',0,no,no,no,no,yes,yes,no,average,average,average,low,average,bad,0,14
F,16,U,GT3,T,'junior high','junior high','<15 min','<2 hours',1,no,yes,yes,yes,yes,yes,no,good,high,average,'very low',high,average,1,10
M,16,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,good,low,average,'very low',low,average,0,12
F,18,R,GT3,T,elementary,elementary,'15 to 30 min','<2 hours',1,no,no,no,no,no,yes,yes,average,low,average,'very low','very low',bad,4,11
F,16,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,yes,no,no,yes,no,no,good,average,low,'very low',low,'very good',0,13
M,17,R,GT3,T,elementary,elementary,'15 to 30 min','<2 hours',0,no,yes,no,yes,yes,yes,yes,good,'very high','very high','very low',average,bad,0,9
F,15,U,GT3,A,'high school','high school','<15 min','10 hours',0,yes,no,no,no,yes,no,no,good,average,average,'very low','very low',good,10,10
F,18,U,GT3,T,'junior high',elementary,'15 to 30 min','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,high,high,'very low','very low',average,10,10
F,18,U,GT3,T,'high school','junior high','<15 min','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,average,high,'very low',low,bad,5,17
M,16,R,GT3,T,'high school','high school','<15 min','<2 hours',0,no,yes,no,yes,yes,yes,no,good,average,low,average,high,'very good',0,10
M,16,R,GT3,T,college,'junior high','<15 min','<2 hours',0,no,yes,no,yes,yes,yes,yes,good,average,average,average,high,average,8,9
F,15,U,GT3,T,elementary,'junior high','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,good,average,low,'very low','very low','very good',6,12
M,17,U,LE3,A,college,elementary,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,yes,yes,good,'very high',high,low,high,'very good',22,11
F,15,U,GT3,T,college,college,'15 to 30 min','<2 hours',0,no,no,no,yes,yes,yes,no,good,average,low,'very low','very low','very good',6,14
F,16,U,GT3,T,college,college,'<15 min','<2 hours',0,no,no,no,yes,yes,yes,no,excellent,average,high,'very low',low,'very bad',4,13
F,15,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,yes,yes,good,high,high,low,average,'very good',4,11
M,17,U,LE3,T,elementary,elementary,'15 to 30 min','<2 hours',1,no,yes,no,yes,yes,yes,no,good,high,high,'very low',low,'very good',0,10
F,17,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,average,low,average,'very low',low,average,0,12
F,17,U,GT3,T,'junior high','junior high','<15 min','5 to 10 hours',0,no,no,no,yes,yes,no,yes,average,high,average,'very low','very low',average,8,11
M,17,U,GT3,T,'junior high','junior high','<15 min','<2 hours',1,no,no,no,yes,yes,no,yes,'very bad',low,'very low',low,average,'very good',0,0
M,17,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,no,no,yes,no,yes,yes,no,good,high,average,low,high,'very good',4,9
F,15,U,GT3,T,'junior high',elementary,'30 min to 1 hr','5 to 10 hours',0,no,yes,no,yes,yes,yes,no,excellent,low,low,'very low','very low',good,0,12
M,15,R,GT3,T,'junior high',elementary,'<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,excellent,high,low,'very low','very low','very good',4,9
F,17,U,LE3,T,elementary,elementary,'<15 min','5 to 10 hours',0,no,yes,no,no,yes,no,yes,good,average,average,'very low','very low',average,0,11
F,17,R,GT3,T,'high school',elementary,'15 to 30 min','2 to 5 hours',3,no,yes,no,yes,yes,yes,yes,excellent,high,high,'very low','very low','very good',2,9
F,18,U,GT3,T,'junior high','junior high','<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,yes,good,average,average,'very low','very low',average,0,12
F,19,U,GT3,T,elementary,elementary,'30 min to 1 hr','5 to 10 hours',0,no,no,no,yes,no,no,yes,'very bad','very high','very high',high,average,'very good',12,10
M,15,U,LE3,T,'junior high','junior high','<15 min','10 hours',0,no,yes,no,yes,yes,yes,no,good,average,high,'very low','very low',good,2,12
F,17,R,GT3,T,college,'high school','15 to 30 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,yes,good,high,low,'very low','very low',good,0,12
F,18,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,yes,no,no,yes,yes,yes,excellent,low,average,'very low',low,good,0,10
F,17,R,LE3,A,'high school',elementary,'15 to 30 min','5 to 10 hours',0,no,yes,yes,no,no,no,no,good,low,average,low,low,average,5,7
F,15,R,LE3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,yes,yes,no,no,yes,yes,no,good,'very low',average,'very low',average,good,0,10
F,17,U,LE3,T,elementary,'junior high','<15 min','<2 hours',0,no,no,no,no,yes,yes,no,excellent,'very high','very low','very low','very low',average,0,10
M,18,U,LE3,T,elementary,'junior high','15 to 30 min','<2 hours',0,no,yes,no,no,yes,no,no,good,'very low',high,'very high','very high','very bad',8,11
F,18,U,LE3,T,'high school','high school','<15 min','10 hours',0,no,yes,no,no,yes,yes,no,excellent,average,average,'very low','very low','very bad',4,14
F,17,U,GT3,T,college,college,'<15 min','<2 hours',0,no,no,no,yes,yes,yes,no,excellent,average,high,'very low',low,'very good',2,15
M,16,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,good,low,high,low,high,'very bad',0,13
M,15,U,GT3,T,'high school',college,'<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,excellent,'very high','very low','very low','very low','very good',0,12
F,17,U,GT3,T,'high school','junior high','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,no,excellent,average,high,'very low',average,average,2,18
M,17,R,LE3,A,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,average,average,average,low,average,good,0,12
F,16,U,GT3,T,'junior high','junior high','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,excellent,'very low','very high','very low','very low',good,0,12
F,17,U,GT3,T,'junior high','junior high','<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,good,average,high,'very low',average,good,0,17
F,17,R,GT3,T,college,'junior high','<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,no,good,average,high,'very low',average,'very good',2,12
F,17,U,GT3,T,'high school',college,'<15 min','5 to 10 hours',1,no,yes,yes,no,yes,yes,yes,good,high,average,average,high,'very good',14,9
M,15,U,GT3,T,'junior high','junior high','<15 min','<2 hours',0,yes,yes,no,no,yes,yes,no,excellent,high,'very low','very low','very low','very bad',0,10
F,17,U,GT3,T,'high school','junior high','15 to 30 min','<2 hours',0,no,no,no,no,yes,no,yes,good,average,average,low,low,'very bad',5,11
F,17,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,yes,no,no,no,yes,no,yes,good,average,low,'very low','very low',good,10,9
F,16,U,GT3,T,college,college,'<15 min','<2 hours',0,no,yes,no,no,yes,yes,no,good,high,high,'very low',low,bad,6,17
M,17,U,LE3,T,'junior high','high school','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,excellent,average,average,'very low',average,average,0,11
F,16,U,GT3,T,college,college,'<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,no,excellent,average,low,'very low','very low','very good',4,16
F,15,R,LE3,T,'high school',elementary,'15 to 30 min','10 hours',0,no,yes,no,no,yes,yes,no,good,high,low,low,average,average,6,15
F,15,R,GT3,T,'junior high','junior high','<15 min','<2 hours',0,yes,yes,no,yes,yes,no,no,good,average,'very low','very low','very low',bad,8,13
F,15,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,yes,no,no,yes,yes,yes,yes,good,high,high,low,high,bad,0,12
M,19,U,GT3,T,'high school','junior high','<15 min','<2 hours',0,no,yes,no,no,no,yes,yes,good,'very high',high,'very low','very low',good,6,9
M,15,U,LE3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,excellent,average,average,'very low',average,good,2,12
F,18,U,GT3,T,elementary,elementary,'30 min to 1 hr','2 to 5 hours',1,no,no,no,no,no,no,no,good,high,low,'very low',low,bad,2,10
F,15,U,LE3,A,'junior high',elementary,'15 to 30 min','<2 hours',0,no,yes,no,yes,no,yes,yes,good,high,low,'very low','very low','very good',0,10
F,18,U,GT3,T,'junior high',elementary,'15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,excellent,average,average,'very low',low,'very bad',2,12
F,17,U,GT3,T,'junior high','junior high','<15 min','<2 hours',0,no,yes,no,yes,no,no,no,good,'very high',average,'very low','very low','very good',4,9
F,16,R,LE3,T,'high school',college,'30 min to 1 hr','2 to 5 hours',0,no,yes,no,no,yes,no,no,good,low,'very low','very low','very low',bad,2,9
M,18,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',2,no,yes,no,yes,no,yes,no,good,high,'very high','very low',average,average,9,8
F,17,U,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,no,no,no,yes,yes,yes,average,high,'very high',low,high,'very bad',16,9
F,15,U,GT3,T,college,'high school','<15 min','<2 hours',0,no,no,no,yes,yes,yes,no,good,'very high','very high','very low',average,'very bad',6,13
F,16,U,GT3,T,'high school','junior high','<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,'very bad',low,low,'very low',low,'very bad',8,15
M,17,U,GT3,T,'high school','high school','15 to 30 min','2 to 5 hours',1,no,yes,no,no,yes,yes,no,good,'very high',high,low,average,average,4,9
F,15,U,LE3,A,'high school',college,'<15 min','2 to 5 hours',0,yes,no,no,yes,yes,yes,yes,excellent,average,low,'very low','very low','very bad',0,11
F,17,U,GT3,T,'junior high','junior high','30 min to 1 hr','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,low,average,'very low','very low','very bad',8,15
F,16,U,GT3,T,'high school','high school','<15 min','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,average,average,'very low',average,good,2,11
M,16,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,yes,yes,no,yes,good,average,'very low','very low','very low',average,0,12
M,17,R,GT3,T,college,college,'30 min to 1 hr','<2 hours',3,no,no,no,yes,yes,yes,yes,average,average,average,'very low',average,'very good',2,9
F,16,U,GT3,T,'high school',elementary,'<15 min','<2 hours',0,no,no,no,yes,yes,yes,no,average,'very low',average,'very low',average,'very bad',0,6
F,16,U,GT3,A,'junior high','junior high','<15 min','2 to 5 hours',0,yes,yes,no,no,yes,yes,no,average,average,high,'very low','very low',good,0,13
F,17,U,LE3,T,'high school','junior high','15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,good,high,high,'very low',average,'very bad',2,16
F,18,U,LE3,T,elementary,elementary,'<15 min','5 to 10 hours',0,no,yes,no,no,yes,no,no,good,high,average,low,average,average,4,12
F,16,U,GT3,T,'junior high','junior high','<15 min','2 to 5 hours',1,yes,no,no,yes,yes,yes,no,average,'very low',low,'very low','very low','very good',12,10
M,16,U,GT3,T,'junior high',elementary,'15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,yes,yes,good,low,low,'very low',high,'very good',2,7
F,18,U,GT3,T,'high school',college,'<15 min','<2 hours',0,no,yes,no,yes,yes,yes,yes,excellent,high,high,'very low','very low','very bad',4,12
M,15,U,GT3,T,college,'high school','15 to 30 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,excellent,high,average,'very low',low,average,0,12
F,16,U,GT3,T,'high school',college,'<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,no,bad,high,average,'very low',low,average,14,11
F,17,U,LE3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,yes,bad,average,high,'very low','very low','very bad',4,14
F,16,R,GT3,T,'junior high','high school','15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,no,no,good,'very high',low,'very low',low,'very good',0,17
F,17,R,GT3,T,elementary,'junior high','15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,no,no,average,low,low,'very low',low,average,0,13
M,16,U,LE3,T,elementary,elementary,'<15 min','2 to 5 hours',2,no,no,no,no,yes,no,yes,good,high,high,'very low',average,'very good',0,10
M,17,U,GT3,T,'high school',elementary,'<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,excellent,high,high,average,high,'very good',0,11
F,15,R,LE3,T,'junior high','junior high','<15 min','5 to 10 hours',0,yes,yes,no,no,yes,no,no,good,high,average,low,low,'very good',2,11
F,16,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,no,yes,yes,yes,good,high,low,'very low','very low',average,0,16
M,16,R,GT3,A,college,college,'15 to 30 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,yes,bad,high,average,'very low','very low','very good',4,13
F,15,R,GT3,T,elementary,elementary,'<15 min','<2 hours',1,no,yes,no,no,yes,no,yes,good,'very low',average,'very low','very low',bad,6,10
M,15,R,LE3,T,elementary,'high school','30 min to 1 hr','<2 hours',0,no,yes,no,yes,yes,yes,no,good,low,high,average,'very high',average,2,11
M,17,U,GT3,T,'high school','high school','15 to 30 min','10 hours',1,no,yes,yes,yes,yes,no,no,excellent,high,'very high',average,high,'very good',0,11
F,17,R,LE3,A,'junior high',elementary,'15 to 30 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,excellent,average,average,'very low',low,bad,5,11
