sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G
F,18,U,LE3,A,elementary,'junior high','15 to 30 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,good,high,average,'very low',low,good,0,Pass
M,15,U,GT3,T,'high school',elementary,'15 to 30 min','<2 hours',0,no,yes,no,no,yes,no,no,average,low,average,'very low',average,good,0,Fail
F,17,R,GT3,T,'junior high',elementary,'30 min to 1 hr','2 to 5 hours',0,no,no,no,yes,yes,no,no,bad,'very low','very low','very low','very low',average,2,Pass
M,19,U,GT3,T,college,'junior high','15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,yes,excellent,high,high,'very low','very low','very bad',9,Pass
M,17,R,GT3,T,'junior high','junior high','15 to 30 min','<2 hours',0,no,no,no,no,no,no,no,excellent,low,low,'very low','very low',good,0,Pass
F,19,R,GT3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',1,no,yes,no,no,yes,yes,yes,good,average,average,'very low','very low',average,4,Fail
F,17,U,GT3,T,'high school','high school','15 to 30 min','5 to 10 hours',0,no,yes,no,no,yes,yes,yes,good,low,low,low,average,'very good',10,Pass
M,15,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,no,no,good,high,average,'very low','very low',bad,4,Pass
M,15,R,GT3,T,elementary,'junior high','30 min to 1 hr','2 to 5 hours',0,no,yes,no,yes,yes,no,no,excellent,'very high','very high','very low',average,'very good',11,Pass
M,19,R,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,no,yes,good,'very high',average,'very low',low,'very good',0,Pass
M,16,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,no,no,no,yes,yes,no,excellent,average,average,'very low','very low',average,0,Pass
M,16,U,LE3,A,college,college,'<15 min','2 to 5 hours',0,no,yes,no,no,yes,no,no,good,'very low',average,average,'very high','very good',6,Fail
F,16,U,GT3,A,'high school',college,'<15 min','<2 hours',0,no,no,no,no,yes,yes,no,average,low,'very low','very low',high,'very good',12,Pass
F,15,R,GT3,T,elementary,'junior high','15 to 30 min','<2 hours',0,no,no,no,no,yes,no,no,excellent,'very low',low,'very low','very low','very bad',3,Pass
